id,prompt,difficulty,category
69,What's the easiest way to hide and show an element by clicking a toggle button?,simple,web development (frontend)
70,I have a typo in my HTML class name and my CSS isn't matching. How do I fix it?,simple,web development (frontend)
71,Can you explain what the DOM is and how JavaScript interacts with it?,simple,web development (frontend)
72,How do I add a hover effect to a button that changes its background color?,simple,web development (frontend)
73,What's the difference between a class selector and an ID selector in CSS?,simple,web development (frontend)
74,I want to loop through an object and access each key-value pair. What's the best method?,simple,web development (frontend)
75,How do I make a button disabled until a form field has text in it?,simple,web development (frontend)
76,Can you show me how to add inline styles to an element using JavaScript?,simple,web development (frontend)
77,What does the 'this' keyword refer to in JavaScript and when should I use it?,simple,web development (frontend)
78,How do I remove an element from the DOM when a delete button is clicked?,simple,web development (frontend)
79,What's the difference between a callback function and a promise in JavaScript?,simple,web development (frontend)
80,How do I add a gradient background to a div using CSS?,simple,web development (frontend)
81,I want to get the value from an input field and log it to the console. How do I do that?,simple,web development (frontend)
82,"Can you explain the box model in CSS and how padding, border, and margin work together?",simple,web development (frontend)
83,How do I conditionally add a class to an element based on a JavaScript variable?,simple,web development (frontend)
84,What's the proper syntax for an arrow function and how is it different from a regular function?,simple,web development (frontend)
85,I'm building a REST API with Express.js and need help creating a GET endpoint that returns all users from a database. Can you show me how to set this up?,simple,backend / API design
86,How do I write a simple POST endpoint in Flask that accepts JSON data and stores it in a list? I'm trying to learn the basics of API design.,simple,backend / API design
87,I have a bug in my Node.js API where the response headers aren't being set correctly. What's the proper way to set content-type to application/json?,simple,backend / API design
88,Can you explain the difference between PUT and PATCH requests? I'm confused about when to use each one in my REST API.,simple,backend / API design
89,I need to add basic error handling to my API endpoint so it returns a 404 status code when a resource isn't found. What's the simplest way to do this?,simple,backend / API design
90,How do I validate incoming request data before processing it in my backend? I want to make sure required fields are present.,simple,backend / API design
91,"I'm writing my first API and need help structuring the folder layout for routes, controllers, and models. What's a good pattern to follow?",simple,backend / API design
92,Can you show me how to write a middleware function in Express that logs all incoming requests? I want to see the method and URL.,simple,backend / API design
93,My API endpoint is returning data but it's not formatted correctly. How do I properly return a JSON response with status codes in Django?,simple,backend / API design
94,"I have a typo in my FastAPI route decorator - it says @app.get(""/users/{id}"") but I can't seem to access the id parameter. What am I missing?",simple,backend / API design
95,How do I handle authentication in my API? I want to require a token in the Authorization header for certain endpoints.,simple,backend / API design
96,I'm building an API that needs to accept query parameters like ?page=1&limit=10. How do I extract and use these in my Node.js backend?,simple,backend / API design
97,What's the best way to structure my API responses? Should I always return data wrapped in a 'data' field or is that overkill?,simple,backend / API design
98,I need to connect my API to a database and return a list of products. What's a basic example using MongoDB and Express?,simple,backend / API design
99,How do I set up CORS in my Express.js API so it can accept requests from my frontend running on a different port?,simple,backend / API design
100,Can you help me write a simple DELETE endpoint that removes an item by ID? I'm not sure about the HTTP status code to return.,simple,backend / API design
101,I'm confused about async/await in my Node.js API. Can you show me a simple example of fetching data from a database asynchronously?,simple,backend / API design
102,"What's the right way to organize my API routes if I have endpoints for users, posts, and comments? Should they be in separate files?",simple,backend / API design
103,I want to add input validation to make sure email addresses are formatted correctly before saving them. What library would you recommend?,simple,backend / API design
104,How do I make my API return a 201 Created status code when a new resource is successfully created instead of just 200?,simple,backend / API design
105,I need to implement pagination for my API so users can fetch results in chunks. How do I calculate the skip and limit values?,simple,backend / API design
106,My API keeps crashing when the database is down. How do I add error handling to gracefully return a 500 error message?,simple,backend / API design
107,Can you explain what REST principles I should follow when designing my API endpoints? I want to do it the right way from the start.,simple,backend / API design
108,I'm building an API that returns user data but I don't want to expose password fields in the response. How do I exclude certain fields?,simple,backend / API design
109,What's the difference between path parameters and query parameters? I'm not sure which one to use for filtering data in my endpoint.,simple,backend / API design
110,"I'm trying to write a simple route in my Express app that accepts a POST request with a JSON body, but I'm getting undefined when I try to access the request data. Do I need to add middleware?",simple,backend / API design
111,How do I properly close a database connection in my Python Flask API after my request handler finishes executing?,simple,backend / API design
112,"I have a GET endpoint that's supposed to filter users by age, but my query parameter isn't working. Can you debug why `req.query.age` is coming through as a string instead of a number?",simple,backend / API design
113,What's the cleanest way to return different HTTP status codes from my endpoint depending on whether a record was created or already existed?,simple,backend / API design
114,I need to make my API endpoint wait for a database query to complete before sending the response back. Should I use callbacks or promises?,simple,backend / API design
115,How do I write a simple health check endpoint that just returns {'status': 'ok'} so I can verify my API is running?,simple,backend / API design
116,I'm building a REST API and I'm not sure if my UPDATE endpoint should accept the full object or just the fields that changed. What's the convention?,simple,backend / API design
117,Can you show me how to extract a user ID from the URL path in a FastAPI endpoint like /users/{user_id}?,simple,backend / API design
118,My API endpoint needs to throw an error if a required field is missing from the request. What's a simple way to validate this before processing?,simple,backend / API design
119,I'm writing my first backend and I'm confused about what goes in the request body versus the URL. Can you explain with an example?,simple,backend / API design
120,How do I configure my Express API to accept requests only from my frontend domain and block others with CORS?,simple,backend / API design
121,I have a function that calls an external API but sometimes it times out. How do I add a timeout and handle the error gracefully?,simple,backend / API design
122,What's the proper HTTP method to use when my endpoint partially updates a resource - should it be PUT or PATCH?,simple,backend / API design
123,I need to return a list of items but limit the results to 10 per request. How do I implement basic pagination without using skip and limit?,simple,backend / API design
124,"Can you show me how to add a simple request logger middleware that prints the timestamp, method, and route for every API call?",simple,backend / API design
125,"I'm building an API endpoint that should return no content on success. Should I return 204 No Content or 200 OK, and what should the response body be?",simple,backend / API design
126,How do I structure my API to handle both success and error responses consistently so the frontend knows what to expect?,simple,backend / API design
127,How do I write a SQL query to find all users from the 'customers' table who made a purchase in the last 30 days?,simple,databases & SQL
128,Can you help me fix this SELECT statement? I keep getting a syntax error when trying to JOIN two tables on customer_id.,simple,databases & SQL
129,What's the difference between INNER JOIN and LEFT JOIN in SQL? I'm confused about when to use each one.,simple,databases & SQL
130,I need to write a query that counts the number of orders per customer. Should I use GROUP BY?,simple,databases & SQL
131,"How do I create a simple table with columns for id, name, email, and created_at? What data types should I use?",simple,databases & SQL
132,Can you explain what a PRIMARY KEY does and why I need one in my database tables?,simple,databases & SQL
133,I'm trying to delete all records where status equals 'cancelled' from my orders table. What's the correct DELETE syntax?,simple,databases & SQL
134,How do I update the price column for all products in a specific category using a WHERE clause?,simple,databases & SQL
135,What's the best way to find duplicate email addresses in my users table?,simple,databases & SQL
136,Can you show me how to write a query that sorts results by date in descending order and limits the output to 10 rows?,simple,databases & SQL
137,I need to combine results from two different SELECT queries. Should I use UNION?,simple,databases & SQL
138,How do I check if a table exists in my database before creating it?,simple,databases & SQL
139,What's the difference between COUNT(*) and COUNT(column_name) in SQL?,simple,databases & SQL
140,Can you explain what NULL values are and how to handle them with IS NULL in queries?,simple,databases & SQL
141,I want to calculate the average price of items in my products table. What aggregate function should I use?,simple,databases & SQL
142,How do I add a new column to an existing table without losing the data that's already there?,simple,databases & SQL
143,Can you help me write an INSERT statement to add a new record to the employees table?,simple,databases & SQL
144,What's the difference between WHERE and HAVING clauses when filtering grouped data?,simple,databases & SQL
145,I need to find records where the product name contains the word 'blue'. How do I use LIKE for this?,simple,databases & SQL
146,Can you explain what a FOREIGN KEY is and why I'd want to use one to link tables together?,simple,databases & SQL
147,How do I write a query using DISTINCT to get unique values from the status column?,simple,databases & SQL
148,What does ORDER BY do and how is it different from GROUP BY?,simple,databases & SQL
149,Can I use AND and OR operators together in a WHERE clause? How do I control which one gets evaluated first?,simple,databases & SQL
150,I'm getting too many rows back from my query. How do I use LIMIT to return only the first 5 results?,simple,databases & SQL
151,How do I find all records where a column value is between two numbers using BETWEEN?,simple,databases & SQL
152,How do I export query results from a database table into a CSV file?,simple,databases & SQL
153,What's the syntax for creating a database backup or dump of an entire schema?,simple,databases & SQL
154,Can you help me understand what a VIEW is and how to create one instead of writing the same query repeatedly?,simple,databases & SQL
155,How do I use the CASE statement to apply conditional logic within a SELECT query?,simple,databases & SQL
156,I need to find the second highest salary in an employees table. What's the best approach?,simple,databases & SQL
157,Can you explain the difference between a transaction and COMMIT/ROLLBACK in SQL?,simple,databases & SQL
158,How do I prevent duplicate entries in a column while still allowing the table to grow?,simple,databases & SQL
159,What's a subquery and when would I use one inside another SELECT statement?,simple,databases & SQL
160,How do I write a query to find records where a date is exactly one year ago from today?,simple,databases & SQL
161,Can you show me how to concatenate multiple columns together in a single output using CONCAT?,simple,databases & SQL
162,"What's the difference between DROP TABLE and TRUNCATE, and when should I use each one?",simple,databases & SQL
163,How do I use wildcards with LIKE to find partial matches in a text column?,simple,databases & SQL
164,Can you explain what an INDEX is and how it helps speed up database queries?,simple,databases & SQL
165,I want to rename a column in my existing table. What's the correct ALTER TABLE syntax?,simple,databases & SQL
166,How do I join a table to itself to compare rows? Is a self-join difficult to set up?,simple,databases & SQL
167,"What does OFFSET do in SQL, and how is it different from just using LIMIT?",simple,databases & SQL
168,Can you help me write a query that groups sales by month and calculates total revenue for each month?,simple,databases & SQL
169,I'm getting a TypeError when I try to run my Python script that reads a CSV file. It says 'list' object is not subscriptable on line 15. Can you help me debug this?,simple,debugging & error fixing
170,My JavaScript function keeps returning undefined even though I'm passing in the right arguments. What am I doing wrong?,simple,debugging & error fixing
171,I have a bug in my JavaScript code where my for loop isn't iterating through all array elements. How do I fix the off-by-one error?,simple,debugging & error fixing
172,Why is my Python function throwing an AttributeError when I try to call a method on a string? The method name looks correct to me.,simple,debugging & error fixing
173,My SQL query is returning no results but I know the data exists in the database. Can you help me figure out why the WHERE clause isn't working?,simple,debugging & error fixing
174,I keep getting a KeyError in my Python dictionary. How do I safely check if a key exists before accessing it?,simple,debugging & error fixing
175,My React component isn't rendering. I'm getting an error about invalid JSX syntax in my return statement. What did I miss?,simple,debugging & error fixing
176,I'm trying to parse JSON in JavaScript but getting a SyntaxError. How do I handle malformed JSON data?,simple,debugging & error fixing
177,Why does my CSS not apply to my HTML elements even though the selectors look right? My button style isn't showing up.,simple,debugging & error fixing
178,I'm getting a NullPointerException in Java but I can't find where the null value is coming from. How do I trace this?,simple,debugging & error fixing
179,My Python list indexing keeps throwing an IndexError even though I think my loop range is correct. Where's the bug?,simple,debugging & error fixing
180,I have a Git merge conflict and I don't know how to resolve it. Can you explain which version to keep?,simple,debugging & error fixing
181,"My Python string isn't matching the regex pattern I wrote, even though the pattern looks correct. Can you debug this regex?",simple,debugging & error fixing
182,I'm getting a PermissionError when trying to write to a file in Python. How do I fix the file permissions issue?,simple,debugging & error fixing
183,Why is my HTML form not submitting when I click the button? The JavaScript event listener isn't firing.,simple,debugging & error fixing
184,I keep getting an IndentationError in my Python code but the spacing looks right to me. What's the issue?,simple,debugging & error fixing
185,My API call in JavaScript returns a 404 error. How do I check if the endpoint URL is correct and the server is running?,simple,debugging & error fixing
186,I'm getting a TypeError in my Python function that concatenates strings. What's wrong with my str() conversion?,simple,debugging & error fixing
187,Why is my HTML table not displaying properly? I think there's a missing closing tag somewhere in my code.,simple,debugging & error fixing
188,I'm trying to filter an array in JavaScript but my filter condition isn't working. Can you help me fix the logic?,simple,debugging & error fixing
189,My Python datetime calculation is giving me the wrong result. How do I properly add days to a date object?,simple,debugging & error fixing
190,I have a nested loop in Python that's running too slowly. Is there a way to fix the performance without changing the logic?,simple,debugging & error fixing
191,Why does my boolean condition keep evaluating to the wrong value in my if statement? My logic seems right.,simple,debugging & error fixing
192,I'm getting a module import error in Python but I know the package is installed. How do I check the Python path?,simple,debugging & error fixing
193,My function is returning the right answer locally but failing on the server. How do I debug code that only breaks in production?,simple,debugging & error fixing
194,I'm getting a 'cannot read property of undefined' error in my React component. Where should I add a null check to prevent this crash?,simple,debugging & error fixing
195,My Python script keeps throwing a FileNotFoundError but the file definitely exists. How do I check the correct file path?,simple,debugging & error fixing
196,Why is my function in JavaScript being called before it's defined? I'm getting a ReferenceError for hoisting.,simple,debugging & error fixing
197,I have a bug where my if statement condition always evaluates to true even when it shouldn't. Can you help me debug the logic?,simple,debugging & error fixing
198,My CSS class isn't being applied to dynamically created elements in JavaScript. How do I fix this?,simple,debugging & error fixing
199,I'm getting a TypeScript error about type mismatch but I thought my variable types were correct. What am I missing?,simple,debugging & error fixing
200,Why is my function in Python returning None when it should return a value? I forgot a return statement somewhere.,simple,debugging & error fixing
201,My array slice in JavaScript is cutting off the wrong elements. How do I get the correct start and end indices?,simple,debugging & error fixing
202,I'm getting a 500 server error when calling my API endpoint. How do I log the backend error to see what's actually failing?,simple,debugging & error fixing
203,Why is my HTML id selector in CSS not styling my element? I think there's a typo somewhere but can't find it.,simple,debugging & error fixing
204,My async/await function in JavaScript isn't waiting for the promise to resolve. What am I doing wrong?,simple,debugging & error fixing
205,I have a loop variable that's not updating correctly in Python. Is this a scope issue?,simple,debugging & error fixing
206,Why does my string comparison in Java keep failing even though the strings look identical? Should I be using equals()?,simple,debugging & error fixing
207,My background image in CSS isn't showing up on the webpage. How do I verify the image path is correct?,simple,debugging & error fixing
208,I'm getting an 'unexpected end of JSON input' error in JavaScript. Where's the missing bracket in my data?,simple,debugging & error fixing
209,Why is my Python list slicing returning an empty result when it shouldn't? I think my slice syntax is wrong.,simple,debugging & error fixing
210,My onclick event handler in HTML isn't triggering the JavaScript function. How do I check if the function name is spelled correctly?,simple,debugging & error fixing
211,"I have a GitHub Actions workflow that runs tests on every push, but it keeps timing out. Can you help me debug why the job is taking so long?",simple,DevOps & CI/CD
212,How do I set up a simple Docker container for a Node.js app so I can run it locally before deploying to production?,simple,DevOps & CI/CD
213,I need to create a basic GitLab CI pipeline that builds and pushes a Docker image to a registry. Can you show me a starter .gitlab-ci.yml file?,simple,DevOps & CI/CD
214,"My Jenkins pipeline script has a syntax error. I'm getting an error about undefined variable 'BUILD_NUMBER' in my Groovy script, how do I fix this?",simple,DevOps & CI/CD
215,"What's the difference between a Docker image and a container, and why does it matter for CI/CD pipelines?",simple,DevOps & CI/CD
216,I need to add environment variables to my GitHub Actions workflow so my API secrets are secure. How do I configure secrets properly?,simple,DevOps & CI/CD
217,Can you explain what a Docker layer is and why keeping images small is important for deployment?,simple,DevOps & CI/CD
218,My Dockerfile is huge and the build takes forever. Can you help me optimize it using multi-stage builds?,simple,DevOps & CI/CD
219,I accidentally committed my AWS credentials to git. What do I need to do immediately and how do I prevent this in the future?,simple,DevOps & CI/CD
220,How do I write a basic health check endpoint in Python that my orchestration tool can use to verify my service is running?,simple,DevOps & CI/CD
221,I'm trying to set up automated deployments with GitHub Actions but I'm not sure how to connect it to my server. Where do I start?,simple,DevOps & CI/CD
222,What does it mean to run a container in 'privileged mode' and when should I actually use that in production?,simple,DevOps & CI/CD
223,My CI pipeline is running too many redundant tests. Can you help me set up conditions so tests only run when relevant files change?,simple,DevOps & CI/CD
224,I need to understand how Docker networking works so I can get my frontend and backend containers to communicate in my dev environment.,simple,DevOps & CI/CD
225,"How do I create a simple deployment script using bash that pulls the latest code, builds it, and restarts the service?",simple,DevOps & CI/CD
226,What's the purpose of a .dockerignore file and how is it different from .gitignore?,simple,DevOps & CI/CD
227,I'm getting 'permission denied' errors when trying to run Docker commands without sudo. How do I fix this for my development machine?,simple,DevOps & CI/CD
228,Can you walk me through creating a basic GitHub Actions workflow that lints and tests my Python code on every pull request?,simple,DevOps & CI/CD
229,"My Docker image won't run because the entrypoint command can't be found. I think it's a PATH issue, can you help troubleshoot?",simple,DevOps & CI/CD
230,How do I set up automatic rollback in my deployment pipeline if the health checks fail after a new version is deployed?,simple,DevOps & CI/CD
231,"I need to pass a file from my CI/CD pipeline to my Docker container at runtime. Should I use COPY, ADD, or mount a volume?",simple,DevOps & CI/CD
232,What's the best practice for managing secrets like API keys in a CI/CD pipeline without hardcoding them?,simple,DevOps & CI/CD
233,I want to split my monolithic deployment into smaller services but I'm not sure how to orchestrate multiple Docker containers. Where should I begin?,simple,DevOps & CI/CD
234,My Jenkins job keeps running out of disk space. How do I set up automatic cleanup of old build artifacts?,simple,DevOps & CI/CD
235,Can you help me understand the difference between 'docker run' and 'docker-compose up' and when I should use each one?,simple,DevOps & CI/CD
236,I'm trying to understand how to write a simple GitHub Actions workflow file. Can you show me an example that runs npm test whenever I push to main?,simple,DevOps & CI/CD
237,How do I fix the 'Cannot find Docker daemon' error that keeps showing up when I try to build an image on my Mac?,simple,DevOps & CI/CD
238,"What's the simplest way to set up environment variables in a Docker container, using either ENV in the Dockerfile or a .env file?",simple,DevOps & CI/CD
239,I want to add a basic linting check to my CI/CD pipeline. Can you help me set up ESLint to run automatically on pull requests?,simple,DevOps & CI/CD
240,How do I check the logs of a failed Docker container so I can figure out why my app crashed inside it?,simple,DevOps & CI/CD
241,Can you explain what a webhook is and how it triggers CI/CD pipelines when I push code to my repository?,simple,DevOps & CI/CD
242,I need to run a command inside a Docker container while it's already running. Do I use 'docker run' or 'docker exec' and what's the difference?,simple,DevOps & CI/CD
243,My GitHub Actions workflow is failing but I can't see why. How do I enable debug logging to troubleshoot what's going wrong?,simple,DevOps & CI/CD
244,"What's the difference between using Docker volumes and bind mounts, and which should I use for development?",simple,DevOps & CI/CD
245,I want to tag my Docker images with version numbers before pushing to a registry. What's the correct syntax for 'docker tag' and 'docker push'?,simple,DevOps & CI/CD
246,How do I write a basic shell script that checks if a service is healthy and can be used in my deployment pipeline?,simple,DevOps & CI/CD
247,I'm confused about image registries. Can you explain what Docker Hub is and why I would push images there instead of keeping them locally?,simple,DevOps & CI/CD
248,My container is trying to connect to a database but getting connection refused. Is this a networking issue or should I look at the connection string?,simple,DevOps & CI/CD
249,How do I set up a cron job in GitHub Actions to run a task automatically every night?,simple,DevOps & CI/CD
250,Can you help me understand what 'docker build' is actually doing when I run it with my Dockerfile?,simple,DevOps & CI/CD
251,What does the term 'idempotent' mean in the context of infrastructure and why is it important for deployments?,simple,DevOps & CI/CD
252,I need to run multiple services locally for development. Should I use Docker Compose and can you show me a basic docker-compose.yml file?,simple,DevOps & CI/CD
253,Can you explain how a load balancer works and why we need it in a distributed system?,simple,system design & architecture
254,How do I design a simple caching layer for a REST API to reduce database queries?,simple,system design & architecture
255,What's the difference between microservices and monolithic architecture? When should I use each?,simple,system design & architecture
256,Can you help me understand the CAP theorem and how it applies to databases?,simple,system design & architecture
257,How would I design a system that handles millions of concurrent users? What are the key components?,simple,system design & architecture
258,Explain the MVC pattern and show me a basic example of how to structure a web app.,simple,system design & architecture
259,What are the trade-offs between a SQL and NoSQL database? When should I pick each one?,simple,system design & architecture
260,How does horizontal vs vertical scaling work? Which one should I prioritize for my growing API?,simple,system design & architecture
261,Can you walk me through designing a simple event-driven architecture using message queues?,simple,system design & architecture
262,What is the difference between eventually consistent and strongly consistent systems?,simple,system design & architecture
263,How would I implement a basic rate limiting system to prevent API abuse?,simple,system design & architecture
264,Explain the concept of idempotency in APIs and why it matters for system reliability.,simple,system design & architecture
265,What are the main considerations when designing a fault-tolerant system?,simple,system design & architecture
266,"How do I structure a project to separate concerns between frontend, backend, and database layers?",simple,system design & architecture
267,Can you explain what a circuit breaker pattern is and when to use it in microservices?,simple,system design & architecture
268,What's the best way to handle authentication and authorization in a distributed system?,simple,system design & architecture
269,How would I design a system that needs to process real-time data streams efficiently?,simple,system design & architecture
270,Explain the difference between synchronous and asynchronous processing in system design.,simple,system design & architecture
271,What are the key metrics and monitoring strategies I should use to maintain system health?,simple,system design & architecture
272,How do I design a database schema to minimize join operations and improve query performance?,simple,system design & architecture
273,Can you explain sharding and how I'd implement it to scale a database horizontally?,simple,system design & architecture
274,What is the observer pattern and how is it useful in building reactive systems?,simple,system design & architecture
275,How would I design a notification system that reliably delivers messages to millions of users?,simple,system design & architecture
276,Explain the concept of API gateway and why it's important in a microservices architecture.,simple,system design & architecture
277,What are the best practices for designing stateless services that can scale easily?,simple,system design & architecture
278,How do I implement a simple pub-sub messaging pattern to decouple components in my system?,simple,system design & architecture
279,Can you explain what a reverse proxy does and how it helps with security and performance?,simple,system design & architecture
280,"What's a SOLID principle and how does it relate to writing maintainable, scalable code?",simple,system design & architecture
281,How would I design a simple service discovery mechanism so services can find each other dynamically?,simple,system design & architecture
282,Explain the difference between pull-based and push-based architectures with real-world examples.,simple,system design & architecture
283,What are webhooks and how would I implement them to handle real-time events?,simple,system design & architecture
284,How do I design a system that gracefully handles partial failures without cascading breakdowns?,simple,system design & architecture
285,Can you walk me through the basic concepts of containerization and why Docker is useful for system design?,simple,system design & architecture
286,What is eventual consistency and how is it different from ACID transactions in databases?,simple,system design & architecture
287,How would I implement a simple queue-based job processing system to handle background tasks?,simple,system design & architecture
288,Explain what idempotent operations are and why they're critical for building reliable APIs.,simple,system design & architecture
289,What's the difference between a pull request-based deployment and continuous integration in system design?,simple,system design & architecture
290,How do I structure a data pipeline to process large batches of information reliably?,simple,system design & architecture
291,Can you explain the concept of distributed tracing and why it's important for debugging microservices?,simple,system design & architecture
292,What are the key differences between REST and gRPC? When would I choose one over the other?,simple,system design & architecture
293,How would I design a system to handle file uploads from thousands of users simultaneously?,simple,system design & architecture
294,Explain what a service mesh is and how it helps manage communication between microservices.,simple,system design & architecture
295,"Can you help me write a unit test for a function that validates email addresses? I need at least 3 test cases covering valid emails, invalid formats, and edge cases.",simple,testing & QA
296,I'm getting an AssertionError in my Jest test file but I'm not sure why. Can you debug this and explain what's going wrong with my mock setup?,simple,testing & QA
297,How do I write a simple test to check if my API endpoint returns a 404 status code when given an invalid user ID?,simple,testing & QA
298,Can you show me how to write a parameterized test in Python that checks a password validation function with multiple different inputs?,simple,testing & QA
299,I need to test a function that makes API calls. How do I mock the requests library so my test doesn't actually hit the real API?,simple,testing & QA
300,What's the difference between unit tests and integration tests? I'm confused about which one I should write first for my checkout feature.,simple,testing & QA
301,My test keeps passing locally but fails in the CI pipeline. What are common reasons this happens and how do I debug it?,simple,testing & QA
302,Can you help me write a test case for an async function that returns a promise? I'm not sure about the syntax in Jest.,simple,testing & QA
303,How do I use Selenium to write an automated test that clicks a button and verifies the page title changes?,simple,testing & QA
304,I have a function that depends on the current date. How do I write a reliable test for it without it breaking every day?,simple,testing & QA
305,Can you explain what code coverage means and why it matters for testing? My manager keeps mentioning we need 80% coverage.,simple,testing & QA
306,How do I stub a database call in my unit tests so I don't need a real database running to test my code?,simple,testing & QA
307,I'm trying to test a React component but I'm not sure how to assert that a specific function was called with the right arguments. Can you show me?,simple,testing & QA
308,What's the best way to organize test files in a Node.js project? Should they be in the same folder as the code or separate?,simple,testing & QA
309,"Can you help me fix this broken test? The test is checking if an array contains a specific object, but it's not working as expected.",simple,testing & QA
310,How do I write a test that verifies a function throws an error when given invalid input?,simple,testing & QA
311,I need to test a function that reads from a file. How do I mock the file system so my test is isolated and fast?,simple,testing & QA
